age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,survey_wt,knowledge,knowledge_binary
25-34,female,gcse,labour,25000plus,2,0,0,0,2,2,4,4,4,3,4,2,1.51533,-1.7368542675113936,0
65plus,male,no_qual,labour,up_to_9499,3,0,1,0,2,2,3,3,3,4,4,3,0.52187,-1.313071516124142,0
35-44,male,gcse,no_party,25000plus,3,1,0,0,2,3,3,4,4,4,4,3,1.19938,-0.6248319183436151,0
25-34,female,degree,no_party,25000plus,3,1,1,0,1,4,1,5,4,5,4,4,1.16321,0.1349925272543115,0
25-34,female,degree,no_party,25000plus,5,1,0,0,5,4,3,4,5,5,5,5,1.16321,-0.6248319183436151,0
65plus,male,degree,no_party,25000plus,1,0,0,0,1,1,1,1,3,4,5,1,1.07883,-1.7368542675113936,0
55-64,male,degree,cons,25000plus,3,1,1,1,1,4,1,1,5,5,1,5,1.04112,0.6612552775959889,1
45-54,male,gcse,lib_dem,25000plus,1,1,0,1,3,1,1,1,4,1,1,3,0.72771,-0.3218308132340501,0
65plus,female,no_qual,no_party,up_to_9499,3,1,0,0,3,4,4,4,5,5,5,3,0.85079,-0.6248319183436151,0
65plus,male,gcse,other,25000plus,1,1,1,0,1,5,3,4,4,4,5,1,0.45452,0.1349925272543115,0
45-54,male,gcse,other,25000plus,3,1,1,1,2,4,1,4,5,1,2,3,0.49376,0.6612552775959889,1
65plus,female,no_qual,cons,up_to_9499,3,0,1,0,4,2,3,1,4,4,5,3,0.93954,-1.313071516124142,0
35-44,male,degree,lib_dem,25000plus,3,1,1,0,4,3,4,4,3,4,4,3,1.2082,0.1349925272543115,0
65plus,female,alevel,lib_dem,25000plus,3,1,1,0,1,2,2,4,4,4,3,3,1.01893,0.1349925272543115,0
15-24,female,alevel,no_party,25000plus,3,1,1,0,2,2,2,4,2,2,5,2,0.68699,0.1349925272543115,0
65plus,female,no_qual,no_party,25000plus,2,1,1,0,3,1,2,2,3,2,4,2,0.9697,0.1349925272543115,0
65plus,female,no_qual,labour,25000plus,3,1,1,0,1,2,2,3,4,2,5,4,0.67752,0.1349925272543115,0
15-24,male,gcse,no_party,25000plus,1,1,1,0,4,1,3,4,4,4,2,1,0.6023,0.1349925272543115,0
25-34,female,degree,labour,25000plus,3,1,1,1,4,3,2,5,4,2,5,5,0.93533,0.6612552775959889,1
55-64,male,degree,labour,17500_24999,3,1,1,1,2,1,4,5,5,5,4,2,0.51954,0.6612552775959889,1
45-54,female,gcse,labour,25000plus,2,1,1,1,2,1,2,5,5,3,4,4,0.95597,0.6612552775959889,1
55-64,female,other,cons,up_to_9499,4,1,1,1,3,4,5,5,5,5,4,5,1.11469,0.6612552775959889,1
45-54,male,other,no_party,25000plus,3,1,1,0,2,2,1,2,4,3,4,3,1.05562,0.1349925272543115,0
65plus,male,other,other,25000plus,1,1,1,0,3,1,5,2,5,1,5,3,0.96278,0.1349925272543115,0
45-54,male,no_qual,no_party,9500_17499,1,1,0,0,5,1,1,4,1,1,1,1,1.15434,-0.6248319183436151,0
65plus,female,alevel,no_party,9500_17499,3,1,1,0,3,1,4,5,5,4,4,4,0.67752,0.1349925272543115,0
55-64,male,gcse,no_party,9500_17499,1,0,0,0,1,1,3,4,2,2,4,2,0.59818,-1.7368542675113936,0
55-64,female,degree,no_party,25000plus,3,1,1,0,2,3,4,4,4,4,4,4,0.78749,0.1349925272543115,0
35-44,male,degree,other,25000plus,3,1,1,0,2,2,2,2,5,4,3,2,1.08012,0.1349925272543115,0
55-64,male,other,other,25000plus,1,1,0,0,3,2,1,4,4,4,1,1,0.61824,-0.6248319183436151,0
45-54,female,gcse,no_party,25000plus,3,1,1,0,3,1,4,3,5,5,4,5,1.05439,0.1349925272543115,0
